smiles,MinAbsEStateIndex,FpDensityMorgan1,FpDensityMorgan3,BalabanJ,Chi4n,HallKierAlpha,PEOE_VSA1,PEOE_VSA2,PEOE_VSA8,SMR_VSA10,SMR_VSA5,SMR_VSA6,SlogP_VSA1,SlogP_VSA3,SlogP_VSA5,EState_VSA1,EState_VSA9,VSA_EState1,FractionCSP3,HeavyAtomCount,NumAromaticCarbocycles,NumRotatableBonds,NumSaturatedRings,MolLogP,fr_Al_OH,fr_Al_OH_noTert,fr_C_S,fr_bicyclic,fr_oxazole,value
*CCCCCCC(=O)N*,0.0865976158982111,1.4444444444444444,2.888888888888889,2.9549874302986416,0.6391105218902952,-0.53,0.0,0.0,0.0,5.907179729351506,39.02784531432067,0.0,5.733667477162185,4.794537184071822,32.10410811463005,0.0,0.0,0.7276898305618543,0.8571428571428571,9,0,6,0,1.485,0,0,0,0,0,0.6934
*CC(=O)N*,0.1446759259259259,2.75,3.5,2.9881608821342693,0.0,-0.53,0.0,0.0,0.0,5.907179729351506,6.923737199690624,0.0,5.733667477162185,4.794537184071822,0.0,0.0,0.0,0.4768518518518518,0.5,4,0,1,0,-0.4654999999999999,0,0,0,0,0,0.7672
*Nc1cccc(C(*)=O)c1,0.1685185185185185,1.7777777777777777,3.333333333333333,3.0058892189147386,0.5826874442850372,-1.31,0.0,0.0,0.0,11.973546797813118,0.0,5.733667477162185,5.733667477162185,0.0,10.357988675768818,0.0,0.0,0.0219954648526077,0.0,9,1,2,0,1.2523,0,0,0,0,0,2.356
*Cc1ccc(C(=O)N*)cc1,0.0227142384731671,1.6,2.8,2.843524062030637,0.6561203794493884,-1.31,0.0,0.0,0.0,5.907179729351506,6.923737199690624,0.0,5.733667477162185,6.923737199690624,15.921440167465814,0.0,0.0,0.4239002267573695,0.125,10,1,2,0,0.93,0,0,0,0,0,1.8315
*CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O*)c1,0.4404991817841124,1.25,2.85,2.491395918965853,1.5420256880327947,-2.24,0.0,0.0,0.0,23.561252691243958,33.10993926815928,17.24045917252558,10.633577208012662,9.843390348640757,24.825916360475023,12.18648014187683,9.843390348640757,5.196792748719329,0.4285714285714285,20,1,7,0,3.6942200000000014,0,0,0,0,0,0.9199
*OC(=O)c1ccc(C(*)=O)cc1,0.2484174225245656,1.2727272727272727,2.272727272727273,2.9340419411151166,0.6743520127395849,-1.64,0.0,0.0,0.0,12.255465811081404,0.0,0.0,0.0,5.106527394840706,20.715977351537635,0.0,5.106527394840706,-0.6267363473167045,0.0,11,1,2,0,0.9972,0,0,0,0,0,3.2451
*Oc1ccc(OC(*)=O)cc1,0.0536649659863943,1.4,2.5,2.709147824373649,0.5557978685053869,-1.5100000000000002,0.0,0.0,0.0,6.472220864716464,0.0,0.0,9.843390348640757,0.0,0.0,0.0,9.843390348640757,4.551637613378686,0.0,10,1,2,0,1.5778,0,0,0,0,0,1.4499
*CCCN*,0.5181944444444444,2.25,3.5,2.3390923149762908,0.0,-0.04,0.0,0.0,0.0,0.0,13.344558822616634,6.544756405912575,5.733667477162185,0.0,6.4208216229260096,0.0,0.0,1.2463888888888888,1.0,4,0,3,0,0.3979999999999999,0,0,0,0,0,0.5296
*Oc1ccc(C(=O)c2ccc(*)cc2)cc1,0.0830498866213158,1.0,2.066666666666667,2.268204423334219,1.3112465469139043,-2.0899999999999994,0.0,0.0,0.0,11.84961201482655,0.0,0.0,11.172894463302317,0.0,15.921440167465814,0.0,5.106527394840706,0.1310366211069673,0.0,15,2,3,0,1.9353,0,0,0,0,0,2.4594
*c1ccc(*)cc1,0.4594444444444444,1.0,1.6666666666666667,3.0324555320336755,0.3035612008409865,-0.78,0.0,0.0,0.0,12.13273413692322,0.0,0.0,12.13273413692322,0.0,0.0,0.0,0.0,0.9188888888888888,0.0,6,1,0,0,0.0358,0,0,0,0,0,2.6013
*CCc1ccc(-c2ccc(*)cc2)cc1,0.3514969153154579,0.8571428571428571,2.0,2.238556210452561,1.443207044672815,-1.5599999999999996,0.0,0.0,0.0,6.06636706846161,13.344558822616634,0.0,6.06636706846161,6.4208216229260096,5.563451491696996,0.0,0.0,0.9194960287961732,0.1428571428571428,14,2,3,0,3.0383000000000013,0,0,0,0,0,1.482
*OC1C(CO)OC(*)C(O)C1O,0.149537037037037,1.5454545454545454,2.8181818181818183,2.686091484209442,0.9005320412859213,-0.2,0.0,0.0,0.0,0.0,31.02274751550613,6.606881964512918,0.0,9.843390348640757,0.0,24.41586555099321,14.94991774348146,4.869675925925927,1.0,11,0,2,1,-2.1758,3,3,0,0,0,0.8344
*Cc1ccc(CO*)cc1,0.1208042800453513,1.3333333333333333,2.555555555555556,2.664537066654608,0.6354885061014401,-0.8200000000000001,0.0,0.0,0.0,0.0,13.530619164203545,0.0,0.0,18.637146559044247,11.126902983393991,0.0,5.106527394840706,0.6489451058201058,0.25,9,1,3,0,1.7168,0,0,0,0,0,1.6106
*CCOCCOC(=O)O*,0.3243981481481484,1.5555555555555556,3.111111111111111,2.9549874302986416,0.2859876377148446,-0.77,0.0,0.0,0.0,6.155365629538759,6.923737199690624,19.820645893538757,0.0,14.580253302440804,0.0,6.155365629538759,4.736862953800049,9.896030092592593,0.8,9,0,5,0,0.5881000000000001,0,0,0,0,0,0.4954
*CCC(O*)(C(F)(F)F)C(F)(F)F,0.0190277777777778,1.0833333333333333,1.5833333333333333,5.208377949667092,0.4441876404712059,-0.46,0.0,0.0,0.0,0.0,31.298206668487268,0.0,0.0,5.106527394840706,6.4208216229260096,24.374469468796647,0.0,71.78979166666669,1.0,12,0,3,0,2.688400000000001,0,0,0,0,0,0.4911
*c1ccc(*)s1,0.5254629629629629,1.6,2.4,3.0420027674072885,0.170103454359943,-0.3,0.0,0.0,0.0,22.09691141886657,0.0,0.0,10.76012554093183,0.0,0.0,0.0,0.0,1.0509259259259258,0.0,5,0,0,0,0.0973,0,0,0,0,0,2.9681
*Oc1ccc(-c2ccc(C(*)=O)cc2)cc1,0.0459823680007664,1.0,2.0,2.2938665692343942,1.3781053446296785,-2.09,0.0,0.0,0.0,6.286160523129555,0.0,0.0,5.106527394840706,0.0,10.357988675768818,0.0,5.106527394840706,-0.2737829178197146,0.0,15,2,3,0,2.886200000000001,0,0,0,0,0,2.4015
*Nc1ccc(*)cc1,0.3274074074074073,1.4285714285714286,2.7142857142857144,2.881555877646136,0.3868945341743198,-0.98,0.0,0.0,0.0,11.753753343145172,0.0,5.733667477162185,11.800034545623795,0.0,0.0,0.0,0.0,0.7451851851851852,0.0,7,1,1,0,0.7373999999999998,0,0,0,0,0,0.9827
*c1cccc(*)n1,0.3558333333333333,1.5,2.5,3.077660437970554,0.2459822178898454,-0.8500000000000001,0.0,0.0,0.0,12.393687143226153,0.0,0.0,12.393687143226153,0.0,0.0,0.0,0.0,0.7116666666666667,0.0,6,0,0,0,-0.5692000000000002,0,0,0,0,0,2.2143
*CC(CC(CC(CC(*)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,0.2126672405009346,0.4375,1.21875,1.6247455096935708,4.602827312627496,-3.1199999999999983,0.0,0.0,0.0,0.0,50.36074182987885,0.0,0.0,0.0,65.6908105969762,0.0,0.0,0.5664924958268073,0.25,32,4,11,0,8.766300000000003,0,0,0,0,0,1.5606
*c1ccc(-c2ccc(*)s2)s1,0.4138567649281934,0.9,1.7,2.4326228277315267,0.7473244655265586,-0.6000000000000001,0.0,0.0,0.0,33.433697296801306,0.0,0.0,10.76012554093183,0.0,0.0,0.0,0.0,0.8277135298563869,0.0,10,0,1,0,1.8258,0,0,0,0,0,2.9681
*c1ccc2oc(-c3ccc4nc(*)oc4c3)nc2c1,0.0104492485061569,0.8888888888888888,2.888888888888889,1.903109728238475,1.8833259337683776,-2.62,0.0,0.0,0.0,34.65944828576914,0.0,0.0,12.460006567252131,0.0,0.0,0.0,8.834301874106695,11.681526760510344,0.0,18,2,1,0,1.9852,0,0,0,2,2,3.155
*Cc1ccc(C*)cc1,0.5672033257747544,1.0,1.625,2.7972512629697874,0.5392634612365024,-0.78,0.0,0.0,0.0,0.0,13.847474399381248,0.0,0.0,13.847474399381248,11.126902983393991,0.0,0.0,1.1344066515495088,0.25,8,1,2,0,1.7852,0,0,0,0,0,0.8499
*CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(*)=O,0.0140835170505437,0.4411764705882353,1.2647058823529411,3.355753816996534,3.261873696299648,-2.12,4.736862953800049,4.794537184071822,6.4208216229260096,24.38013672857201,116.07770478943284,26.427527858051672,0.0,33.33106336741566,109.1539675897422,0.0,18.9474518152002,20.69836316562232,0.8461538461538461,34,0,25,0,5.901200000000006,0,0,0,0,0,0.7602
*CC(CC(CC(*)c1ccccn1)c1ccccn1)c1ccccn1,0.1698494583018392,0.7083333333333334,1.75,1.815127381006223,2.796543146182726,-2.55,0.0,0.0,0.0,0.0,38.02201416079144,0.0,0.0,0.0,48.18006094564619,0.0,4.9839785209472085,0.5058502386262126,0.2857142857142857,24,0,8,0,4.7774000000000045,0,0,0,0,0,1.1922
*C(=S)c1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,0.1593999210999571,0.8823529411764706,2.0588235294117645,1.9381423389123984,1.501559986422586,-0.8099999999999998,0.0,0.0,0.0,56.97577674283306,0.0,0.0,5.380062770465915,0.0,4.877147193701299,0.0,12.217873443046695,0.4995114474470534,0.0,17,0,3,0,4.604500000000002,0,0,1,0,0,3.9365
*Oc1ccc(-c2ccc(-c3ccc(*)s3)s2)s1,0.0026371159370797,0.8125,2.0625,1.933629767577347,1.4289712802687229,-1.1,0.0,0.0,0.0,39.39042040427013,0.0,0.0,10.48659016530662,0.0,0.0,0.0,5.106527394840706,0.34084141377702,0.0,16,0,3,0,4.222800000000001,0,0,0,0,0,2.4093
*C(=S)Oc1ccc(-c2ccc(*)s2)s1,0.0351355557655161,1.3076923076923077,2.769230769230769,2.2334160860502,0.9221553818056656,-0.71,0.0,0.0,0.0,45.825051206485234,0.0,0.0,10.116925724265965,0.0,0.0,0.0,16.954736396846744,5.879529819643906,0.0,13,0,2,0,2.8642000000000003,0,0,1,0,0,3.2944
*Oc1ccc(C(=S)c2ccc(*)s2)s1,0.0160917684975223,1.3076923076923077,2.6923076923076925,2.276791863299917,0.9268740757244934,-0.71,0.0,0.0,0.0,45.13607528813371,0.0,0.0,10.48659016530662,0.0,9.7542943874026,0.0,17.324400837887403,0.2957911050222559,0.0,13,0,3,0,2.5936000000000003,0,0,1,0,0,3.4574
*C(=S)OC(=S)c1ccc(*)s1,0.0006802721088434,1.7,3.0,2.716322890255734,0.4390807466387935,-0.32,0.0,0.0,0.0,51.75676643193572,0.0,0.0,5.380062770465915,4.736862953800049,4.877147193701299,0.0,29.17260983989344,5.561130952380953,0.0,10,0,1,0,1.4489999999999998,0,0,2,0,0,4.0075
*Oc1ccc(Oc2ccc(*)s2)s1,0.0125959257159653,1.0833333333333333,2.5,2.102852645102257,0.7402997175716448,-1.0,0.0,0.0,0.0,28.05363452633539,0.0,0.0,15.223453119106669,0.0,0.0,0.0,9.843390348640757,6.006509170026035,0.0,12,0,3,0,2.6196,0,0,0,0,0,1.3443
*OC(=S)Oc1ccc(*)s1,0.13359693877551,1.8888888888888888,3.333333333333333,2.5725016835725403,0.3651676439579454,-0.6100000000000001,0.0,0.0,0.0,34.17141009337279,0.0,0.0,10.116925724265965,5.106527394840706,0.0,0.0,22.06126379168745,5.38248866213152,0.0,9,0,1,0,1.0673,0,0,1,0,0,2.5249
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)s3)s2)cc1,0.3131502453585231,0.5238095238095238,1.6666666666666667,1.6419110975860638,2.153017532964316,-1.6799999999999993,0.0,0.0,0.0,45.45678747273174,0.0,0.0,11.446429838927523,0.0,0.0,0.0,0.0,0.6426557212644042,0.0,21,1,3,0,5.221300000000002,0,0,0,0,0,2.752
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)s1,0.0116882331700152,0.8235294117647058,2.294117647058824,1.9221115935676476,1.6291912890652638,-1.5799999999999996,0.0,0.0,0.0,28.739938824331084,0.0,0.0,11.172894463302317,0.0,0.0,0.0,5.106527394840706,0.3080820583003123,0.0,17,1,3,0,4.1613000000000016,0,0,0,0,0,1.7103
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)s2)cc1,0.3073743632689547,0.5,1.4545454545454546,1.6117237982135977,2.394484285922363,-2.1599999999999997,0.0,0.0,0.0,34.120001594797,0.0,0.0,11.446429838927523,0.0,0.0,0.0,0.0,0.6294132263691177,0.0,22,2,3,0,5.159800000000003,0,0,0,0,0,2.3385
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,0.1355877828960647,0.8421052631578947,1.894736842105263,1.9045869153723525,1.90187572751756,-1.7699999999999996,0.0,0.0,0.0,34.98850928495928,0.0,0.0,6.06636706846161,0.0,5.563451491696996,0.0,12.217873443046695,0.4461178528921549,0.0,19,2,3,0,4.481500000000002,0,0,1,0,0,3.3503
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)s2)cc1,0.0264492541409722,0.7777777777777778,1.8888888888888888,1.9054977594361533,1.8185423941842265,-2.06,0.0,0.0,0.0,17.403152946396347,0.0,0.0,11.172894463302317,0.0,0.0,0.0,5.106527394840706,0.286838131799247,0.0,18,2,3,0,4.099800000000002,0,0,0,0,0,1.8588
*c1ccc(-c2ccc(C(=S)c3ccc(*)s3)s2)cc1,0.293358063126281,0.8888888888888888,2.333333333333333,1.9004614026509123,1.650920328420087,-1.2899999999999996,0.0,0.0,0.0,51.20244235659532,0.0,0.0,11.446429838927523,0.0,9.7542943874026,0.0,12.217873443046695,0.6025379811653259,0.0,18,1,3,0,3.592100000000002,0,0,1,0,0,3.6267
*c1ccc(-c2ccc(Oc3ccc(*)s3)s2)cc1,0.2940988038670217,0.8235294117647058,2.3529411764705883,1.8091044533290097,1.4634867733439192,-1.5799999999999996,0.0,0.0,0.0,34.120001594797,0.0,0.0,16.183292792727574,0.0,0.0,0.0,4.736862953800049,6.521749868080586,0.0,17,1,3,0,3.618100000000002,0,0,0,0,0,2.1082
*C(=S)Oc1ccc(-c2ccc(*)cc2)s1,0.0217494960947343,1.2857142857142858,2.7857142857142856,2.241169311999731,1.1223753906022076,-1.1899999999999995,0.0,0.0,0.0,35.17456962654619,0.0,0.0,10.803230022261658,0.0,0.0,0.0,16.954736396846744,5.853161656114848,0.0,14,1,2,0,2.8027000000000006,0,0,1,0,0,2.8418
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)s1,0.0201686261490345,0.7777777777777778,2.0,1.8875486952644676,1.8815828067120608,-2.059999999999999,0.0,0.0,0.0,17.403152946396347,0.0,0.0,11.172894463302317,0.0,0.0,0.0,5.106527394840706,0.2922753652708421,0.0,18,2,3,0,4.099800000000002,0,0,0,0,0,1.897
*c1ccc(-c2ccc(-c3ccc(-c4ccc(*)s4)cc3)cc2)cc1,0.3015399670104512,0.4782608695652174,1.3478260869565215,1.5827738736289825,2.657800568257908,-2.639999999999999,0.0,0.0,0.0,22.783215716862266,0.0,0.0,11.446429838927523,0.0,0.0,0.0,0.0,0.6185167962658006,0.0,23,3,3,0,5.098300000000004,0,0,0,0,0,2.2963
*C(=S)c1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,0.1285967667432033,0.65,1.4,1.872001422146861,2.165192009853105,-2.249999999999999,0.0,0.0,0.0,23.651723407024544,0.0,0.0,6.06636706846161,0.0,5.563451491696996,0.0,12.217873443046695,0.4329434467166176,0.0,20,3,3,0,4.420000000000004,0,0,1,0,0,3.0264
*Oc1ccc(-c2ccc(-c3ccc(*)cc3)cc2)cc1,0.0334402702938336,0.5789473684210527,1.368421052631579,1.8726978379111328,2.0818586765197717,-2.539999999999999,0.0,0.0,0.0,6.06636706846161,0.0,0.0,11.172894463302317,0.0,0.0,0.0,5.106527394840706,0.2734045200348339,0.0,19,3,3,0,4.038300000000002,0,0,0,0,0,1.6576
*OC(=S)c1ccc(-c2ccc(*)cc2)cc1,0.1171860717044699,1.0,2.066666666666667,2.28940133813224,1.378105344629678,-1.6699999999999997,0.0,0.0,0.0,23.33486817184684,0.0,0.0,6.06636706846161,5.106527394840706,5.563451491696996,0.0,17.324400837887403,0.1940766838313736,0.0,15,2,2,0,2.6846000000000005,0,0,1,0,0,2.7321
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)s1,0.1325592088687327,1.0666666666666669,2.333333333333333,2.301131634516727,1.1952962518612913,-0.9000000000000001,0.0,0.0,0.0,52.0709500467576,0.0,0.0,6.06636706846161,0.0,15.317745879099594,0.0,24.43574688609339,0.4275307247299491,0.0,15,1,3,0,2.913800000000001,0,0,2,0,0,4.1807
*Oc1ccc(C(=S)c2ccc(*)cc2)s1,0.0294778281683041,1.2857142857142858,2.7142857142857144,2.2762854936030408,1.1227075457074285,-1.1899999999999995,0.0,0.0,0.0,34.48559370819467,0.0,0.0,11.172894463302317,0.0,10.440598685398296,0.0,17.324400837887403,0.2691989218526919,0.0,14,1,3,0,2.5321000000000007,0,0,1,0,0,3.2177
*C(=S)c1ccc(C(=S)c2ccc(*)cc2)cc1,0.1235546690362705,0.8125,1.75,2.284394871094497,1.3945798802472376,-1.38,0.0,0.0,0.0,40.73416416882287,0.0,0.0,6.06636706846161,0.0,16.690354475090988,0.0,24.43574688609339,0.4098171989946879,0.0,16,2,3,0,2.8523000000000005,0,0,2,0,0,2.9311
*Oc1ccc(C(=S)c2ccc(*)cc2)cc1,0.0384823680007664,1.0,2.066666666666667,2.268204423334219,1.3112465469139043,-1.6699999999999997,0.0,0.0,0.0,23.14880783025993,0.0,0.0,11.172894463302317,0.0,11.126902983393991,0.0,17.324400837887403,0.2511471653246542,0.0,15,2,3,0,2.4706,0,0,1,0,0,3.1315
*C(=S)OC(=S)c1ccc(*)cc1,0.0225292894935751,1.3636363636363635,2.5454545454545454,2.776706823371711,0.619746541530481,-0.8,0.0,0.0,0.0,41.10628485199668,0.0,0.0,6.06636706846161,4.736862953800049,5.563451491696996,0.0,29.17260983989344,5.54017342739565,0.0,11,1,1,0,1.3875,0,0,2,0,0,3.7508
*Oc1ccc(Oc2ccc(*)cc2)s1,0.0259819853867471,1.0769230769230769,2.5384615384615383,2.1084339600840583,0.9139195966830924,-1.4799999999999998,0.0,0.0,0.0,17.403152946396347,0.0,0.0,15.909757417102366,0.0,0.0,0.0,9.843390348640757,5.986098014823213,0.0,13,1,3,0,2.5581000000000005,0,0,0,0,0,1.2264
*c1ccc(OC(=S)c2ccc(*)s2)cc1,0.279064310909549,1.2142857142857142,2.642857142857143,2.1031673189661504,0.9479191197297542,-1.19,0.0,0.0,0.0,40.05171682024749,0.0,0.0,16.183292792727574,0.0,4.877147193701299,0.0,16.954736396846744,6.230232531284118,0.0,14,1,2,0,1.8518,0,0,1,0,0,3.1094
*OC(=S)Oc1ccc(*)cc1,0.1554459561602417,1.5,2.8,2.6449316670687724,0.5358690091938786,-1.09,0.0,0.0,0.0,23.52092851343375,0.0,0.0,10.803230022261658,5.106527394840706,0.0,0.0,22.06126379168745,5.35822869425548,0.0,10,1,1,0,1.0058,0,0,1,0,0,1.8722
